Nivel,Tema,Concepto,Ejercicio
"7","Error de regresión","MAE","Observa errores absolutos y cita una marca visible. ¿Qué conclusión guiada sobre mae conserva el alcance?"
"7","Error de regresión","MAE","Observa errores absolutos y cita una marca visible. ¿Qué exige transferir mae a otra decisión?"
"7","Error de regresión","MSE","Observa errores elevados al cuadrado y cita una marca visible. ¿Qué conclusión guiada sobre mse conserva el alcance?"
"7","Error de regresión","MSE","Observa errores elevados al cuadrado y cita una marca visible. ¿Qué exige transferir mse a otra decisión?"
"7","Error de regresión","RMSE","Observa raíz en unidades de pedidos y cita una marca visible. ¿Qué conclusión guiada sobre rmse conserva el alcance?"
"7","Error de regresión","RMSE","Observa raíz en unidades de pedidos y cita una marca visible. ¿Qué exige transferir rmse a otra decisión?"
"7","Error de regresión","R²","Observa modelo frente a promedio base y cita una marca visible. ¿Qué conclusión guiada sobre r² conserva el alcance?"
"7","Error de regresión","R²","Observa modelo frente a promedio base y cita una marca visible. ¿Qué exige transferir r² a otra decisión?"
"7","Matriz de confusión","TP","Observa celda TP resaltada y cita una marca visible. ¿Qué conclusión guiada sobre tp conserva el alcance?"
"7","Matriz de confusión","TP","Observa celda TP resaltada y cita una marca visible. ¿Qué exige transferir tp a otra decisión?"
"7","Matriz de confusión","TN","Observa celda TN resaltada y cita una marca visible. ¿Qué conclusión guiada sobre tn conserva el alcance?"
"7","Matriz de confusión","TN","Observa celda TN resaltada y cita una marca visible. ¿Qué exige transferir tn a otra decisión?"
"7","Matriz de confusión","FP","Observa celda FP y merma y cita una marca visible. ¿Qué conclusión guiada sobre fp conserva el alcance?"
"7","Matriz de confusión","FP","Observa celda FP y merma y cita una marca visible. ¿Qué exige transferir fp a otra decisión?"
"7","Matriz de confusión","FN","Observa celda FN y pedidos no atendidos y cita una marca visible. ¿Qué conclusión guiada sobre fn conserva el alcance?"
"7","Matriz de confusión","FN","Observa celda FN y pedidos no atendidos y cita una marca visible. ¿Qué exige transferir fn a otra decisión?"
"7","Métricas de clasificación","Precision","Observa TP entre alertas y cita una marca visible. ¿Qué conclusión guiada sobre precision conserva el alcance?"
"7","Métricas de clasificación","Precision","Observa TP entre alertas y cita una marca visible. ¿Qué exige transferir precision a otra decisión?"
"7","Métricas de clasificación","Recall","Observa TP entre noches altas y cita una marca visible. ¿Qué conclusión guiada sobre recall conserva el alcance?"
"7","Métricas de clasificación","Recall","Observa TP entre noches altas y cita una marca visible. ¿Qué exige transferir recall a otra decisión?"
"7","Métricas de clasificación","Specificity","Observa TN entre noches normales y cita una marca visible. ¿Qué conclusión guiada sobre specificity conserva el alcance?"
"7","Métricas de clasificación","Specificity","Observa TN entre noches normales y cita una marca visible. ¿Qué exige transferir specificity a otra decisión?"
"7","Métricas de clasificación","F1","Observa precision y recall combinados y cita una marca visible. ¿Qué conclusión guiada sobre f1 conserva el alcance?"
"7","Métricas de clasificación","F1","Observa precision y recall combinados y cita una marca visible. ¿Qué exige transferir f1 a otra decisión?"
"7","Curvas y calibración","ROC","Observa TPR frente a FPR y cita una marca visible. ¿Qué conclusión guiada sobre roc conserva el alcance?"
"7","Curvas y calibración","ROC","Observa TPR frente a FPR y cita una marca visible. ¿Qué exige transferir roc a otra decisión?"
"7","Curvas y calibración","PR","Observa precision frente a recall y cita una marca visible. ¿Qué conclusión guiada sobre pr conserva el alcance?"
"7","Curvas y calibración","PR","Observa precision frente a recall y cita una marca visible. ¿Qué exige transferir pr a otra decisión?"
"7","Curvas y calibración","Umbral y costo","Observa umbral, errores y costo y cita una marca visible. ¿Qué conclusión guiada sobre umbral y costo conserva el alcance?"
"7","Curvas y calibración","Umbral y costo","Observa umbral, errores y costo y cita una marca visible. ¿Qué exige transferir umbral y costo a otra decisión?"
"7","Curvas y calibración","Calibración","Observa probabilidad estimada frente a frecuencia y cita una marca visible. ¿Qué conclusión guiada sobre calibración conserva el alcance?"
"7","Curvas y calibración","Calibración","Observa probabilidad estimada frente a frecuencia y cita una marca visible. ¿Qué exige transferir calibración a otra decisión?"
"7","Generalización","Bias","Observa patrón sistemático de error y cita una marca visible. ¿Qué conclusión guiada sobre bias conserva el alcance?"
"7","Generalización","Bias","Observa patrón sistemático de error y cita una marca visible. ¿Qué exige transferir bias a otra decisión?"
"7","Generalización","Variance","Observa ajustes entre muestras y cita una marca visible. ¿Qué conclusión guiada sobre variance conserva el alcance?"
"7","Generalización","Variance","Observa ajustes entre muestras y cita una marca visible. ¿Qué exige transferir variance a otra decisión?"
"7","Generalización","Overfitting","Observa brecha train-validation y cita una marca visible. ¿Qué conclusión guiada sobre overfitting conserva el alcance?"
"7","Generalización","Overfitting","Observa brecha train-validation y cita una marca visible. ¿Qué exige transferir overfitting a otra decisión?"
"7","Generalización","Regularización","Observa complejidad y error validado y cita una marca visible. ¿Qué conclusión guiada sobre regularización conserva el alcance?"
"7","Generalización","Regularización","Observa complejidad y error validado y cita una marca visible. ¿Qué exige transferir regularización a otra decisión?"
"8","Clustering","Distancia","Observa distancias entre noches y cita una marca visible. ¿Qué conclusión guiada sobre distancia conserva el alcance?"
"8","Clustering","Distancia","Observa distancias entre noches y cita una marca visible. ¿Qué exige transferir distancia a otra decisión?"
"8","Clustering","K-means","Observa asignación y actualización y cita una marca visible. ¿Qué conclusión guiada sobre k-means conserva el alcance?"
"8","Clustering","K-means","Observa asignación y actualización y cita una marca visible. ¿Qué exige transferir k-means a otra decisión?"
"8","Clustering","Centroides","Observa trayectoria de centroides y cita una marca visible. ¿Qué conclusión guiada sobre centroides conserva el alcance?"
"8","Clustering","Centroides","Observa trayectoria de centroides y cita una marca visible. ¿Qué exige transferir centroides a otra decisión?"
"8","Clustering","Número de grupos","Observa soluciones para distintos k y cita una marca visible. ¿Qué conclusión guiada sobre número de grupos conserva el alcance?"
"8","Clustering","Número de grupos","Observa soluciones para distintos k y cita una marca visible. ¿Qué exige transferir número de grupos a otra decisión?"
"8","Reducción dimensional","PCA","Observa noches proyectadas y cita una marca visible. ¿Qué conclusión guiada sobre pca conserva el alcance?"
"8","Reducción dimensional","PCA","Observa noches proyectadas y cita una marca visible. ¿Qué exige transferir pca a otra decisión?"
"8","Reducción dimensional","Componentes","Observa cargas de variables y cita una marca visible. ¿Qué conclusión guiada sobre componentes conserva el alcance?"
"8","Reducción dimensional","Componentes","Observa cargas de variables y cita una marca visible. ¿Qué exige transferir componentes a otra decisión?"
"8","Reducción dimensional","Varianza explicada","Observa varianza explicada acumulada y cita una marca visible. ¿Qué conclusión guiada sobre varianza explicada conserva el alcance?"
"8","Reducción dimensional","Varianza explicada","Observa varianza explicada acumulada y cita una marca visible. ¿Qué exige transferir varianza explicada a otra decisión?"
"8","Detección de anomalías","Rareza","Observa vecindad de una noche rara y cita una marca visible. ¿Qué conclusión guiada sobre rareza conserva el alcance?"
"8","Detección de anomalías","Rareza","Observa vecindad de una noche rara y cita una marca visible. ¿Qué exige transferir rareza a otra decisión?"
"8","Detección de anomalías","Aislamiento","Observa ruta de particiones y cita una marca visible. ¿Qué conclusión guiada sobre aislamiento conserva el alcance?"
"8","Detección de anomalías","Aislamiento","Observa ruta de particiones y cita una marca visible. ¿Qué exige transferir aislamiento a otra decisión?"
"8","Detección de anomalías","Umbral de anomalía","Observa score, umbral y cola de revisión y cita una marca visible. ¿Qué conclusión guiada sobre umbral de anomalía conserva el alcance?"
"8","Detección de anomalías","Umbral de anomalía","Observa score, umbral y cola de revisión y cita una marca visible. ¿Qué exige transferir umbral de anomalía a otra decisión?"
"9","Series de tiempo","Tendencia","Observa serie ordenada y tendencia y cita una marca visible. ¿Qué conclusión guiada sobre tendencia conserva el alcance?"
"9","Series de tiempo","Tendencia","Observa serie ordenada y tendencia y cita una marca visible. ¿Qué exige transferir tendencia a otra decisión?"
"9","Series de tiempo","Estacionalidad","Observa ciclos alineados por periodo y cita una marca visible. ¿Qué conclusión guiada sobre estacionalidad conserva el alcance?"
"9","Series de tiempo","Estacionalidad","Observa ciclos alineados por periodo y cita una marca visible. ¿Qué exige transferir estacionalidad a otra decisión?"
"9","Series de tiempo","Rezago","Observa pares valor anterior y actual y cita una marca visible. ¿Qué conclusión guiada sobre rezago conserva el alcance?"
"9","Series de tiempo","Rezago","Observa pares valor anterior y actual y cita una marca visible. ¿Qué exige transferir rezago a otra decisión?"
"9","Series de tiempo","Anomalía temporal","Observa evento localizado y patrón esperado y cita una marca visible. ¿Qué conclusión guiada sobre anomalía temporal conserva el alcance?"
"9","Series de tiempo","Anomalía temporal","Observa evento localizado y patrón esperado y cita una marca visible. ¿Qué exige transferir anomalía temporal a otra decisión?"
"9","Validación temporal","Ventanas temporales","Observa ventana y corte temporal y cita una marca visible. ¿Qué conclusión guiada sobre ventanas temporales conserva el alcance?"
"9","Validación temporal","Ventanas temporales","Observa ventana y corte temporal y cita una marca visible. ¿Qué exige transferir ventanas temporales a otra decisión?"
"9","Validación temporal","Backtesting","Observa folds pasado-futuro y cita una marca visible. ¿Qué conclusión guiada sobre backtesting conserva el alcance?"
"9","Validación temporal","Backtesting","Observa folds pasado-futuro y cita una marca visible. ¿Qué exige transferir backtesting a otra decisión?"
"9","Validación temporal","Leakage temporal","Observa corte y dato futuro bloqueado y cita una marca visible. ¿Qué conclusión guiada sobre leakage temporal conserva el alcance?"
"9","Validación temporal","Leakage temporal","Observa corte y dato futuro bloqueado y cita una marca visible. ¿Qué exige transferir leakage temporal a otra decisión?"
"9","A/B testing","Asignación aleatoria","Observa asignaciones balanceadas A/B y cita una marca visible. ¿Qué conclusión guiada sobre asignación aleatoria conserva el alcance?"
"9","A/B testing","Asignación aleatoria","Observa asignaciones balanceadas A/B y cita una marca visible. ¿Qué exige transferir asignación aleatoria a otra decisión?"
"9","A/B testing","Métrica primaria","Observa numerador y denominador primarios y cita una marca visible. ¿Qué conclusión guiada sobre métrica primaria conserva el alcance?"
"9","A/B testing","Métrica primaria","Observa numerador y denominador primarios y cita una marca visible. ¿Qué exige transferir métrica primaria a otra decisión?"
"9","A/B testing","Tamaño de muestra","Observa tamaño y ancho esperado y cita una marca visible. ¿Qué conclusión guiada sobre tamaño de muestra conserva el alcance?"
"9","A/B testing","Tamaño de muestra","Observa tamaño y ancho esperado y cita una marca visible. ¿Qué exige transferir tamaño de muestra a otra decisión?"
"9","A/B testing","Efecto","Observa diferencia e intervalo y cita una marca visible. ¿Qué conclusión guiada sobre efecto conserva el alcance?"
"9","A/B testing","Efecto","Observa diferencia e intervalo y cita una marca visible. ¿Qué exige transferir efecto a otra decisión?"
"9","Experimentación","Guardrails","Observa métrica principal y límites operativos y cita una marca visible. ¿Qué conclusión guiada sobre guardrails conserva el alcance?"
"9","Experimentación","Guardrails","Observa métrica principal y límites operativos y cita una marca visible. ¿Qué exige transferir guardrails a otra decisión?"
"9","Experimentación","Múltiples pruebas","Observa familia de pruebas y criterio ajustado y cita una marca visible. ¿Qué conclusión guiada sobre múltiples pruebas conserva el alcance?"
"9","Experimentación","Múltiples pruebas","Observa familia de pruebas y criterio ajustado y cita una marca visible. ¿Qué exige transferir múltiples pruebas a otra decisión?"
"9","Experimentación","Efecto práctico","Observa efecto frente a mínimo útil y cita una marca visible. ¿Qué conclusión guiada sobre efecto práctico conserva el alcance?"
"9","Experimentación","Efecto práctico","Observa efecto frente a mínimo útil y cita una marca visible. ¿Qué exige transferir efecto práctico a otra decisión?"
"10","Ética y sesgo","Representación","Observa cobertura y ausencias por grupo y cita una marca visible. ¿Qué conclusión guiada sobre representación conserva el alcance?"
"10","Ética y sesgo","Representación","Observa cobertura y ausencias por grupo y cita una marca visible. ¿Qué exige transferir representación a otra decisión?"
"10","Ética y sesgo","Fairness","Observa tasas con denominadores comparables y cita una marca visible. ¿Qué conclusión guiada sobre fairness conserva el alcance?"
"10","Ética y sesgo","Fairness","Observa tasas con denominadores comparables y cita una marca visible. ¿Qué exige transferir fairness a otra decisión?"
"10","Ética y sesgo","Daño","Observa ruta desde decisión hasta consecuencia y cita una marca visible. ¿Qué conclusión guiada sobre daño conserva el alcance?"
"10","Ética y sesgo","Daño","Observa ruta desde decisión hasta consecuencia y cita una marca visible. ¿Qué exige transferir daño a otra decisión?"
"10","Ética y sesgo","Privacidad","Observa campos, propósito, acceso y retención y cita una marca visible. ¿Qué conclusión guiada sobre privacidad conserva el alcance?"
"10","Ética y sesgo","Privacidad","Observa campos, propósito, acceso y retención y cita una marca visible. ¿Qué exige transferir privacidad a otra decisión?"
"10","Comunicación","Audiencia","Observa capas de detalle por audiencia y cita una marca visible. ¿Qué conclusión guiada sobre audiencia conserva el alcance?"
"10","Comunicación","Audiencia","Observa capas de detalle por audiencia y cita una marca visible. ¿Qué exige transferir audiencia a otra decisión?"
"10","Comunicación","Comunicación de incertidumbre","Observa estimación, intervalo y supuestos y cita una marca visible. ¿Qué conclusión guiada sobre comunicación de incertidumbre conserva el alcance?"
"10","Comunicación","Comunicación de incertidumbre","Observa estimación, intervalo y supuestos y cita una marca visible. ¿Qué exige transferir comunicación de incertidumbre a otra decisión?"
"10","Comunicación","Anotación","Observa marca, fuente y límite y cita una marca visible. ¿Qué conclusión guiada sobre anotación conserva el alcance?"
"10","Comunicación","Anotación","Observa marca, fuente y límite y cita una marca visible. ¿Qué exige transferir anotación a otra decisión?"
"10","Comunicación","Narrativa de datos","Observa evidencia, interpretación y decisión y cita una marca visible. ¿Qué conclusión guiada sobre narrativa de datos conserva el alcance?"
"10","Comunicación","Narrativa de datos","Observa evidencia, interpretación y decisión y cita una marca visible. ¿Qué exige transferir narrativa de datos a otra decisión?"
"10","Reproducibilidad","Semillas","Observa ejecuciones repetidas con semilla y cita una marca visible. ¿Qué conclusión guiada sobre semillas conserva el alcance?"
"10","Reproducibilidad","Semillas","Observa ejecuciones repetidas con semilla y cita una marca visible. ¿Qué exige transferir semillas a otra decisión?"
"10","Reproducibilidad","Versiones","Observa linaje de datos, código y salida y cita una marca visible. ¿Qué conclusión guiada sobre versiones conserva el alcance?"
"10","Reproducibilidad","Versiones","Observa linaje de datos, código y salida y cita una marca visible. ¿Qué exige transferir versiones a otra decisión?"
"10","Reproducibilidad","Diccionario de datos","Observa unidad, campo, tipo, origen y límite y cita una marca visible. ¿Qué conclusión guiada sobre diccionario de datos conserva el alcance?"
"10","Reproducibilidad","Diccionario de datos","Observa unidad, campo, tipo, origen y límite y cita una marca visible. ¿Qué exige transferir diccionario de datos a otra decisión?"
"10","Reproducibilidad","Notebook limpio","Observa carga, validación, análisis y salida y cita una marca visible. ¿Qué conclusión guiada sobre notebook limpio conserva el alcance?"
"10","Reproducibilidad","Notebook limpio","Observa carga, validación, análisis y salida y cita una marca visible. ¿Qué exige transferir notebook limpio a otra decisión?"
"10","Mini-proyecto","Pregunta del proyecto","Observa población, resultado y decisión y cita una marca visible. ¿Qué conclusión guiada sobre pregunta del proyecto conserva el alcance?"
"10","Mini-proyecto","Pregunta del proyecto","Observa población, resultado y decisión y cita una marca visible. ¿Qué exige transferir pregunta del proyecto a otra decisión?"
"10","Mini-proyecto","Datos del proyecto","Observa cobertura, calidad, permiso y procedencia y cita una marca visible. ¿Qué conclusión guiada sobre datos del proyecto conserva el alcance?"
"10","Mini-proyecto","Datos del proyecto","Observa cobertura, calidad, permiso y procedencia y cita una marca visible. ¿Qué exige transferir datos del proyecto a otra decisión?"
"10","Mini-proyecto","Análisis del proyecto","Observa transformaciones y visuales trazables y cita una marca visible. ¿Qué conclusión guiada sobre análisis del proyecto conserva el alcance?"
"10","Mini-proyecto","Análisis del proyecto","Observa transformaciones y visuales trazables y cita una marca visible. ¿Qué exige transferir análisis del proyecto a otra decisión?"
"10","Mini-proyecto","Evaluación del proyecto","Observa criterios, fallos y límites y cita una marca visible. ¿Qué conclusión guiada sobre evaluación del proyecto conserva el alcance?"
"10","Mini-proyecto","Evaluación del proyecto","Observa criterios, fallos y límites y cita una marca visible. ¿Qué exige transferir evaluación del proyecto a otra decisión?"
"10","Mini-proyecto","Comunicación del proyecto","Observa acción, evidencia, incertidumbre y revisión y cita una marca visible. ¿Qué conclusión guiada sobre comunicación del proyecto conserva el alcance?"
"10","Mini-proyecto","Comunicación del proyecto","Observa acción, evidencia, incertidumbre y revisión y cita una marca visible. ¿Qué exige transferir comunicación del proyecto a otra decisión?"
"11","Del notebook al proyecto","Notebook frente a producción","Observa dependencias ocultas, ejecución limpia, contrato y resultados de tests y cita una marca visible. ¿Qué decisión sobre notebook frente a producción está respaldada por las tres etapas?"
"11","Del notebook al proyecto","Notebook frente a producción","Observa dependencias ocultas, ejecución limpia, contrato y resultados de tests y cita una marca visible. ¿Qué debe volver a comprobarse al transferir notebook frente a producción a otro caso?"
"11","Del notebook al proyecto","Ejecución reproducible","Observa entrada, entorno, comando y salida repetida y cita una marca visible. ¿Qué decisión sobre ejecución reproducible está respaldada por las tres etapas?"
"11","Del notebook al proyecto","Ejecución reproducible","Observa entrada, entorno, comando y salida repetida y cita una marca visible. ¿Qué debe volver a comprobarse al transferir ejecución reproducible a otro caso?"
"11","Del notebook al proyecto","Estructura y responsabilidades","Observa componentes y fronteras de responsabilidad y cita una marca visible. ¿Qué decisión sobre estructura y responsabilidades está respaldada por las tres etapas?"
"11","Del notebook al proyecto","Estructura y responsabilidades","Observa componentes y fronteras de responsabilidad y cita una marca visible. ¿Qué debe volver a comprobarse al transferir estructura y responsabilidades a otro caso?"
"11","Código modular y contratos","Funciones y módulos","Observa input, función, output y efectos y cita una marca visible. ¿Qué decisión sobre funciones y módulos está respaldada por las tres etapas?"
"11","Código modular y contratos","Funciones y módulos","Observa input, función, output y efectos y cita una marca visible. ¿Qué debe volver a comprobarse al transferir funciones y módulos a otro caso?"
"11","Código modular y contratos","Contrato de entrada y salida","Observa casos válidos e inválidos frente al schema y cita una marca visible. ¿Qué decisión sobre contrato de entrada y salida está respaldada por las tres etapas?"
"11","Código modular y contratos","Contrato de entrada y salida","Observa casos válidos e inválidos frente al schema y cita una marca visible. ¿Qué debe volver a comprobarse al transferir contrato de entrada y salida a otro caso?"
"11","Código modular y contratos","Configuración y secretos","Observa configuración, entorno y secreto redactado y cita una marca visible. ¿Qué decisión sobre configuración y secretos está respaldada por las tres etapas?"
"11","Código modular y contratos","Configuración y secretos","Observa configuración, entorno y secreto redactado y cita una marca visible. ¿Qué debe volver a comprobarse al transferir configuración y secretos a otro caso?"
"11","Testing para datos y ML","Unit e integration tests","Observa unidades y fronteras cubiertas y cita una marca visible. ¿Qué decisión sobre unit e integration tests está respaldada por las tres etapas?"
"11","Testing para datos y ML","Unit e integration tests","Observa unidades y fronteras cubiertas y cita una marca visible. ¿Qué debe volver a comprobarse al transferir unit e integration tests a otro caso?"
"11","Testing para datos y ML","Regression, golden y failure cases","Observa casos esperados, actuales y fallidos y cita una marca visible. ¿Qué decisión sobre regression, golden y failure cases está respaldada por las tres etapas?"
"11","Testing para datos y ML","Regression, golden y failure cases","Observa casos esperados, actuales y fallidos y cita una marca visible. ¿Qué debe volver a comprobarse al transferir regression, golden y failure cases a otro caso?"
"11","Testing para datos y ML","Fixtures y tests de schema","Observa campos, nulos y bordes cubiertos y cita una marca visible. ¿Qué decisión sobre fixtures y tests de schema está respaldada por las tres etapas?"
"11","Testing para datos y ML","Fixtures y tests de schema","Observa campos, nulos y bordes cubiertos y cita una marca visible. ¿Qué debe volver a comprobarse al transferir fixtures y tests de schema a otro caso?"
"11","APIs y contratos de servicio","Request y response","Observa request, validación, proceso y response y cita una marca visible. ¿Qué decisión sobre request y response está respaldada por las tres etapas?"
"11","APIs y contratos de servicio","Request y response","Observa request, validación, proceso y response y cita una marca visible. ¿Qué debe volver a comprobarse al transferir request y response a otro caso?"
"11","APIs y contratos de servicio","Errores y versionado","Observa rutas por status y versión y cita una marca visible. ¿Qué decisión sobre errores y versionado está respaldada por las tres etapas?"
"11","APIs y contratos de servicio","Errores y versionado","Observa rutas por status y versión y cita una marca visible. ¿Qué debe volver a comprobarse al transferir errores y versionado a otro caso?"
"11","APIs y contratos de servicio","FastAPI y health check","Observa proceso, dependencias y resultado health y cita una marca visible. ¿Qué decisión sobre fastapi y health check está respaldada por las tres etapas?"
"11","APIs y contratos de servicio","FastAPI y health check","Observa proceso, dependencias y resultado health y cita una marca visible. ¿Qué debe volver a comprobarse al transferir fastapi y health check a otro caso?"
"11","Empaquetado y entornos","Dependencias y lockfile","Observa dependencias, versiones y lock y cita una marca visible. ¿Qué decisión sobre dependencias y lockfile está respaldada por las tres etapas?"
"11","Empaquetado y entornos","Dependencias y lockfile","Observa dependencias, versiones y lock y cita una marca visible. ¿Qué debe volver a comprobarse al transferir dependencias y lockfile a otro caso?"
"11","Empaquetado y entornos","Imagen y contenedor","Observa Dockerfile, imagen y contenedor y cita una marca visible. ¿Qué decisión sobre imagen y contenedor está respaldada por las tres etapas?"
"11","Empaquetado y entornos","Imagen y contenedor","Observa Dockerfile, imagen y contenedor y cita una marca visible. ¿Qué debe volver a comprobarse al transferir imagen y contenedor a otro caso?"
"11","Empaquetado y entornos","Runtime y artefacto","Observa capas de build, artifact, config y runtime y cita una marca visible. ¿Qué decisión sobre runtime y artefacto está respaldada por las tres etapas?"
"11","Empaquetado y entornos","Runtime y artefacto","Observa capas de build, artifact, config y runtime y cita una marca visible. ¿Qué debe volver a comprobarse al transferir runtime y artefacto a otro caso?"
"11","Integración y entrega continua","Pipeline CI","Observa commit, jobs, checks y evidencia y cita una marca visible. ¿Qué decisión sobre pipeline ci está respaldada por las tres etapas?"
"11","Integración y entrega continua","Pipeline CI","Observa commit, jobs, checks y evidencia y cita una marca visible. ¿Qué debe volver a comprobarse al transferir pipeline ci a otro caso?"
"11","Integración y entrega continua","Test/build gate y secrets","Observa diff, criterio, test y artifact bloqueado y cita una marca visible. ¿Qué decisión sobre test/build gate y secrets está respaldada por las tres etapas?"
"11","Integración y entrega continua","Test/build gate y secrets","Observa diff, criterio, test y artifact bloqueado y cita una marca visible. ¿Qué debe volver a comprobarse al transferir test/build gate y secrets a otro caso?"
"11","Integración y entrega continua","CI frente a CD","Observa artifact verificado y autorización de entrega y cita una marca visible. ¿Qué decisión sobre ci frente a cd está respaldada por las tres etapas?"
"11","Integración y entrega continua","CI frente a CD","Observa artifact verificado y autorización de entrega y cita una marca visible. ¿Qué debe volver a comprobarse al transferir ci frente a cd a otro caso?"
"11","Despliegue y operabilidad mínima","Servicio y configuración por entorno","Observa mismo artifact entre entornos y cita una marca visible. ¿Qué decisión sobre servicio y configuración por entorno está respaldada por las tres etapas?"
"11","Despliegue y operabilidad mínima","Servicio y configuración por entorno","Observa mismo artifact entre entornos y cita una marca visible. ¿Qué debe volver a comprobarse al transferir servicio y configuración por entorno a otro caso?"
"11","Despliegue y operabilidad mínima","Logs y fallos de arranque","Observa eventos de arranque y fallo visible y cita una marca visible. ¿Qué decisión sobre logs y fallos de arranque está respaldada por las tres etapas?"
"11","Despliegue y operabilidad mínima","Logs y fallos de arranque","Observa eventos de arranque y fallo visible y cita una marca visible. ¿Qué debe volver a comprobarse al transferir logs y fallos de arranque a otro caso?"
"11","Despliegue y operabilidad mínima","Handoff versionado","Observa contrato, artifact, health, logs y versión segura y cita una marca visible. ¿Qué decisión sobre handoff versionado está respaldada por las tres etapas?"
"11","Despliegue y operabilidad mínima","Handoff versionado","Observa contrato, artifact, health, logs y versión segura y cita una marca visible. ¿Qué debe volver a comprobarse al transferir handoff versionado a otro caso?"
"12","Del modelo al sistema","Modelo e inferencia","Observa modelo, contexto, aplicación, entorno y harness y cita una marca visible. ¿Qué decisión sobre modelo e inferencia está respaldada por las tres etapas?"
"12","Del modelo al sistema","Modelo e inferencia","Observa modelo, contexto, aplicación, entorno y harness y cita una marca visible. ¿Qué debe volver a comprobarse al transferir modelo e inferencia a otro caso?"
"12","Del modelo al sistema","Ventana y presupuesto de contexto","Observa tokens disponibles, selección, descarte y compaction y cita una marca visible. ¿Qué decisión sobre ventana y presupuesto de contexto está respaldada por las tres etapas?"
"12","Del modelo al sistema","Ventana y presupuesto de contexto","Observa tokens disponibles, selección, descarte y compaction y cita una marca visible. ¿Qué debe volver a comprobarse al transferir ventana y presupuesto de contexto a otro caso?"
"12","Del modelo al sistema","App, workflow, agente y sistema","Observa modelo, aplicación, workflow, agente y sistema y cita una marca visible. ¿Qué decisión sobre app, workflow, agente y sistema está respaldada por las tres etapas?"
"12","Del modelo al sistema","App, workflow, agente y sistema","Observa modelo, aplicación, workflow, agente y sistema y cita una marca visible. ¿Qué debe volver a comprobarse al transferir app, workflow, agente y sistema a otro caso?"
"12","Del modelo al sistema","Agente frente a workflow","Observa pasos fijos, decisión dinámica, observación y acción y cita una marca visible. ¿Qué decisión sobre agente frente a workflow está respaldada por las tres etapas?"
"12","Del modelo al sistema","Agente frente a workflow","Observa pasos fijos, decisión dinámica, observación y acción y cita una marca visible. ¿Qué debe volver a comprobarse al transferir agente frente a workflow a otro caso?"
"12","Contexto y conocimiento","Context assembly y compaction","Observa contexto disponible, selección, ensamblaje y recuperación y cita una marca visible. ¿Qué decisión sobre context assembly y compaction está respaldada por las tres etapas?"
"12","Contexto y conocimiento","Context assembly y compaction","Observa contexto disponible, selección, ensamblaje y recuperación y cita una marca visible. ¿Qué debe volver a comprobarse al transferir context assembly y compaction a otro caso?"
"12","Contexto y conocimiento","Output estructurado y schema","Observa schema, salida, validación y reparación y cita una marca visible. ¿Qué decisión sobre output estructurado y schema está respaldada por las tres etapas?"
"12","Contexto y conocimiento","Output estructurado y schema","Observa schema, salida, validación y reparación y cita una marca visible. ¿Qué debe volver a comprobarse al transferir output estructurado y schema a otro caso?"
"12","Contexto y conocimiento","Corpus, chunks y metadata","Observa corpus, chunk, metadata y procedencia y cita una marca visible. ¿Qué decisión sobre corpus, chunks y metadata está respaldada por las tres etapas?"
"12","Contexto y conocimiento","Corpus, chunks y metadata","Observa corpus, chunk, metadata y procedencia y cita una marca visible. ¿Qué debe volver a comprobarse al transferir corpus, chunks y metadata a otro caso?"
"12","Contexto y conocimiento","Retrieval, reranking y abstención","Observa consulta, ranking, evidencia, cita y abstención y cita una marca visible. ¿Qué decisión sobre retrieval, reranking y abstención está respaldada por las tres etapas?"
"12","Contexto y conocimiento","Retrieval, reranking y abstención","Observa consulta, ranking, evidencia, cita y abstención y cita una marca visible. ¿Qué debe volver a comprobarse al transferir retrieval, reranking y abstención a otro caso?"
"12","Tools, skills y disclosure","Contrato de tool","Observa nombre, input schema, output schema y permiso y cita una marca visible. ¿Qué decisión sobre contrato de tool está respaldada por las tres etapas?"
"12","Tools, skills y disclosure","Contrato de tool","Observa nombre, input schema, output schema y permiso y cita una marca visible. ¿Qué debe volver a comprobarse al transferir contrato de tool a otro caso?"
"12","Tools, skills y disclosure","Ejecución, error y retry de tool","Observa argumentos, ejecución, resultado, error y retry y cita una marca visible. ¿Qué decisión sobre ejecución, error y retry de tool está respaldada por las tres etapas?"
"12","Tools, skills y disclosure","Ejecución, error y retry de tool","Observa argumentos, ejecución, resultado, error y retry y cita una marca visible. ¿Qué debe volver a comprobarse al transferir ejecución, error y retry de tool a otro caso?"
"12","Tools, skills y disclosure","Skill como procedimiento reutilizable","Observa instrucciones, scripts, referencias, validaciones y cierre y cita una marca visible. ¿Qué decisión sobre skill como procedimiento reutilizable está respaldada por las tres etapas?"
"12","Tools, skills y disclosure","Skill como procedimiento reutilizable","Observa instrucciones, scripts, referencias, validaciones y cierre y cita una marca visible. ¿Qué debe volver a comprobarse al transferir skill como procedimiento reutilizable a otro caso?"
"12","Tools, skills y disclosure","Progressive disclosure","Observa descubrir, activar y ejecutar recursos y cita una marca visible. ¿Qué decisión sobre progressive disclosure está respaldada por las tres etapas?"
