question_id,level,block_id,concept_ids,difficulty,stem,visual_asset,option_a,option_b,option_c,option_d,correct_option,feedback_correct,feedback_wrong,repasar_tags
L04Q04,4,correlation,spearman,4,"Diagnóstico de Nivel 4 (Correlación). El objetivo es ""Calcular asociación monótona con rangos"". ¿Cuál respuesta demostraría dominio de Spearman?",,"Convertir asociación en causa o ignorar grupos, extremos y denominadores.",Cambiar la unidad de análisis para que la respuesta parezca más clara.,Aceptar una conclusión automática aunque exceda los datos disponibles.,"Usar spearman para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",D,Correcto: conecta Spearman con una acción observable y evidencia verificable.,"Repasa Correlación: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L4:correlation;spearman
L04Q05,4,confounding,confounders,4,"Diagnóstico de Nivel 4 (Confusión). El objetivo es ""Reconocer una tercera variable que distorsiona asociación"". ¿Cuál respuesta demostraría dominio de Confusores?",,"Usar confusores para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.","Convertir asociación en causa o ignorar grupos, extremos y denominadores.",Cambiar la unidad de análisis para que la respuesta parezca más clara.,Aceptar una conclusión automática aunque exceda los datos disponibles.,A,Correcto: conecta Confusores con una acción observable y evidencia verificable.,"Repasa Confusión: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L4:confounding;confounders
L04Q06,4,cross-tabs,proportions,4,"Diagnóstico de Nivel 4 (Tablas cruzadas). El objetivo es ""Comparar eventos usando denominadores explícitos"". ¿Cuál respuesta demostraría dominio de Proporciones?",,"Convertir asociación en causa o ignorar grupos, extremos y denominadores.","Usar proporciones para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",Cambiar la unidad de análisis para que la respuesta parezca más clara.,Aceptar una conclusión automática aunque exceda los datos disponibles.,B,Correcto: conecta Proporciones con una acción observable y evidencia verificable.,"Repasa Tablas cruzadas: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L4:cross-tabs;proportions
L05Q01,5,architecture,grain,5,"Diagnóstico de Nivel 5 (Arquitectura invisible de los datos). El objetivo es ""Aplicar unidad y granularidad y justificar una decisión con evidencia verificable"". ¿Cuál respuesta demostraría dominio de Unidad y granularidad?",,"Dar por válido unidad y granularidad sin reconciliar las marcas visibles, la unidad y el límite del procedimiento.",Cambiar la unidad de análisis para que la respuesta parezca más clara.,"Usar unidad y granularidad para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",Aceptar una conclusión automática aunque exceda los datos disponibles.,C,Correcto: conecta Unidad y granularidad con una acción observable y evidencia verificable.,"Repasa Arquitectura invisible de los datos: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L5:architecture;grain
L05Q02,5,sql-questions,aggregation-groups,5,"Diagnóstico de Nivel 5 (SQL para hacer preguntas). El objetivo es ""Aplicar agregación y grupos y justificar una decisión con evidencia verificable"". ¿Cuál respuesta demostraría dominio de Agregación y grupos?",,"Dar por válido agregación y grupos sin reconciliar las marcas visibles, la unidad y el límite del procedimiento.",Cambiar la unidad de análisis para que la respuesta parezca más clara.,Aceptar una conclusión automática aunque exceda los datos disponibles.,"Usar agregación y grupos para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",D,Correcto: conecta Agregación y grupos con una acción observable y evidencia verificable.,"Repasa SQL para hacer preguntas: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L5:sql-questions;aggregation-groups
L05Q03,5,joins,join-row-explosion,5,"Diagnóstico de Nivel 5 (Relaciones y JOINs). El objetivo es ""Aplicar explosión de filas en un join y justificar una decisión con evidencia verificable"". ¿Cuál respuesta demostraría dominio de Explosión de filas en un JOIN?",,"Usar explosión de filas en un join para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.","Dar por válido explosión de filas en un join sin reconciliar las marcas visibles, la unidad y el límite del procedimiento.",Cambiar la unidad de análisis para que la respuesta parezca más clara.,Aceptar una conclusión automática aunque exceda los datos disponibles.,A,Correcto: conecta Explosión de filas en un JOIN con una acción observable y evidencia verificable.,"Repasa Relaciones y JOINs: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L5:joins;join-row-explosion
L05Q04,5,analytic-sql,lag-cutoff,5,"Diagnóstico de Nivel 5 (SQL analítico y tiempo). El objetivo es ""Aplicar rezagos y fecha de corte y justificar una decisión con evidencia verificable"". ¿Cuál respuesta demostraría dominio de Rezagos y fecha de corte?",,"Dar por válido rezagos y fecha de corte sin reconciliar las marcas visibles, la unidad y el límite del procedimiento.","Usar rezagos y fecha de corte para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",Cambiar la unidad de análisis para que la respuesta parezca más clara.,Aceptar una conclusión automática aunque exceda los datos disponibles.,B,Correcto: conecta Rezagos y fecha de corte con una acción observable y evidencia verificable.,"Repasa SQL analítico y tiempo: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L5:analytic-sql;lag-cutoff
L05Q05,5,abt,entity-deduplication,5,"Diagnóstico de Nivel 5 (Construcción de la tabla analítica). El objetivo es ""Aplicar deduplicación por entidad y justificar una decisión con evidencia verificable"". ¿Cuál respuesta demostraría dominio de Deduplicación por entidad?",,"Dar por válido deduplicación por entidad sin reconciliar las marcas visibles, la unidad y el límite del procedimiento.",Cambiar la unidad de análisis para que la respuesta parezca más clara.,"Usar deduplicación por entidad para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",Aceptar una conclusión automática aunque exceda los datos disponibles.,C,Correcto: conecta Deduplicación por entidad con una acción observable y evidencia verificable.,"Repasa Construcción de la tabla analítica: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L5:abt;entity-deduplication
L05Q06,5,modern-sources,duckdb-polars,5,"Diagnóstico de Nivel 5 (Fuentes y formatos modernos). El objetivo es ""Aplicar duckdb y polars y justificar una decisión con evidencia verificable"". ¿Cuál respuesta demostraría dominio de DuckDB y Polars?",,"Dar por válido duckdb y polars sin reconciliar las marcas visibles, la unidad y el límite del procedimiento.",Cambiar la unidad de análisis para que la respuesta parezca más clara.,Aceptar una conclusión automática aunque exceda los datos disponibles.,"Usar duckdb y polars para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",D,Correcto: conecta DuckDB y Polars con una acción observable y evidencia verificable.,"Repasa Fuentes y formatos modernos: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L5:modern-sources;duckdb-polars
L06Q01,6,linear-regression,fit,6,"Diagnóstico de Nivel 6 (Regresión lineal). El objetivo es ""Ajustar una recta descriptiva conservando puntos y errores"". ¿Cuál respuesta demostraría dominio de Ajuste?",,"Usar ajuste para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.","Presentar ajuste en muestra como desempeño futuro, causalidad o decisión automática.",Cambiar la unidad de análisis para que la respuesta parezca más clara.,Aceptar una conclusión automática aunque exceda los datos disponibles.,A,Correcto: conecta Ajuste con una acción observable y evidencia verificable.,"Repasa Regresión lineal: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L6:linear-regression;fit
L06Q02,6,linear-regression,residuals,6,"Diagnóstico de Nivel 6 (Regresión lineal). El objetivo es ""Calcular observado menos ajustado"". ¿Cuál respuesta demostraría dominio de Residuales?",,"Presentar ajuste en muestra como desempeño futuro, causalidad o decisión automática.","Usar residuales para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",Cambiar la unidad de análisis para que la respuesta parezca más clara.,Aceptar una conclusión automática aunque exceda los datos disponibles.,B,Correcto: conecta Residuales con una acción observable y evidencia verificable.,"Repasa Regresión lineal: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L6:linear-regression;residuals
L06Q03,6,multiple-regression,interaction,6,"Diagnóstico de Nivel 6 (Regresión múltiple). El objetivo es ""Representar que una asociación depende de otra entrada"". ¿Cuál respuesta demostraría dominio de Interacción?",,"Presentar ajuste en muestra como desempeño futuro, causalidad o decisión automática.",Cambiar la unidad de análisis para que la respuesta parezca más clara.,"Usar interacción para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",Aceptar una conclusión automática aunque exceda los datos disponibles.,C,Correcto: conecta Interacción con una acción observable y evidencia verificable.,"Repasa Regresión múltiple: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L6:multiple-regression;interaction
L06Q04,6,classification,score,6,"Diagnóstico de Nivel 6 (Clasificación). El objetivo es ""Distinguir un valor ordenable de una decisión"". ¿Cuál respuesta demostraría dominio de Score?",,"Presentar ajuste en muestra como desempeño futuro, causalidad o decisión automática.",Cambiar la unidad de análisis para que la respuesta parezca más clara.,Aceptar una conclusión automática aunque exceda los datos disponibles.,"Usar score para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",D,Correcto: conecta Score con una acción observable y evidencia verificable.,"Repasa Clasificación: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L6:classification;score
L06Q05,6,interpretable-models,decision-tree,6,"Diagnóstico de Nivel 6 (Modelos interpretables). El objetivo es ""Recorrer divisiones binarias reproducibles"". ¿Cuál respuesta demostraría dominio de Árbol de decisión?",,"Usar árbol de decisión para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.","Presentar ajuste en muestra como desempeño futuro, causalidad o decisión automática.",Cambiar la unidad de análisis para que la respuesta parezca más clara.,Aceptar una conclusión automática aunque exceda los datos disponibles.,A,Correcto: conecta Árbol de decisión con una acción observable y evidencia verificable.,"Repasa Modelos interpretables: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L6:interpretable-models;decision-tree
L06Q06,6,feature-preparation,encoding,6,"Diagnóstico de Nivel 6 (Preparación de variables). El objetivo es ""Representar categorías sin imponer orden falso"". ¿Cuál respuesta demostraría dominio de Encoding?",,"Presentar ajuste en muestra como desempeño futuro, causalidad o decisión automática.","Usar encoding para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",Cambiar la unidad de análisis para que la respuesta parezca más clara.,Aceptar una conclusión automática aunque exceda los datos disponibles.,B,Correcto: conecta Encoding con una acción observable y evidencia verificable.,"Repasa Preparación de variables: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L6:feature-preparation;encoding
L07Q01,7,data-partition,train,7,"Diagnóstico de Nivel 7 (Partición de datos). El objetivo es ""Asignar datos al ajuste sin mezclarlos con evaluación"". ¿Cuál respuesta demostraría dominio de Train?",,Convertir una salida exploratoria o una métrica aislada en una decisión automática.,Cambiar la unidad de análisis para que la respuesta parezca más clara.,"Usar train para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",Aceptar una conclusión automática aunque exceda los datos disponibles.,C,Correcto: conecta Train con una acción observable y evidencia verificable.,"Repasa Partición de datos: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L7:data-partition;train
L07Q02,7,regression-error,mae,7,"Diagnóstico de Nivel 7 (Error de regresión). El objetivo es ""Interpretar el error absoluto medio en pedidos"". ¿Cuál respuesta demostraría dominio de MAE?",,Convertir una salida exploratoria o una métrica aislada en una decisión automática.,Cambiar la unidad de análisis para que la respuesta parezca más clara.,Aceptar una conclusión automática aunque exceda los datos disponibles.,"Usar mae para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",D,Correcto: conecta MAE con una acción observable y evidencia verificable.,"Repasa Error de regresión: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L7:regression-error;mae
L07Q03,7,confusion-matrix,true-positive,7,"Diagnóstico de Nivel 7 (Matriz de confusión). El objetivo es ""Traducir un acierto de alerta al turno"". ¿Cuál respuesta demostraría dominio de TP?",,"Usar tp para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",Convertir una salida exploratoria o una métrica aislada en una decisión automática.,Cambiar la unidad de análisis para que la respuesta parezca más clara.,Aceptar una conclusión automática aunque exceda los datos disponibles.,A,Correcto: conecta TP con una acción observable y evidencia verificable.,"Repasa Matriz de confusión: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L7:confusion-matrix;true-positive
L07Q04,7,classification-metrics,precision,7,"Diagnóstico de Nivel 7 (Métricas de clasificación). El objetivo es ""Medir qué fracción de alertas acertó"". ¿Cuál respuesta demostraría dominio de Precision?",,Convertir una salida exploratoria o una métrica aislada en una decisión automática.,"Usar precisión para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",Cambiar la unidad de análisis para que la respuesta parezca más clara.,Aceptar una conclusión automática aunque exceda los datos disponibles.,B,Correcto: conecta Precision con una acción observable y evidencia verificable.,"Repasa Métricas de clasificación: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L7:classification-metrics;precision
L07Q05,7,curves-calibration,roc,7,"Diagnóstico de Nivel 7 (Curvas y calibración). El objetivo es ""Comparar TPR y FPR a través de umbrales"". ¿Cuál respuesta demostraría dominio de ROC?",,Convertir una salida exploratoria o una métrica aislada en una decisión automática.,Cambiar la unidad de análisis para que la respuesta parezca más clara.,"Usar roc para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",Aceptar una conclusión automática aunque exceda los datos disponibles.,C,Correcto: conecta ROC con una acción observable y evidencia verificable.,"Repasa Curvas y calibración: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L7:curves-calibration;roc
L07Q06,7,generalization,bias,7,"Diagnóstico de Nivel 7 (Generalización). El objetivo es ""Reconocer error sistemático por modelo demasiado simple"". ¿Cuál respuesta demostraría dominio de Bias?",,Convertir una salida exploratoria o una métrica aislada en una decisión automática.,Cambiar la unidad de análisis para que la respuesta parezca más clara.,Aceptar una conclusión automática aunque exceda los datos disponibles.,"Usar bias para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",D,Correcto: conecta Bias con una acción observable y evidencia verificable.,"Repasa Generalización: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L7:generalization;bias
L08Q01,8,clustering,distance,8,"Diagnóstico de Nivel 8 (Clustering). El objetivo es ""Comparar cercanía solo después de fijar escala"". ¿Cuál respuesta demostraría dominio de Distancia?",,"Usar distancia para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",Convertir una salida exploratoria o una métrica aislada en una decisión automática.,Cambiar la unidad de análisis para que la respuesta parezca más clara.,Aceptar una conclusión automática aunque exceda los datos disponibles.,A,Correcto: conecta Distancia con una acción observable y evidencia verificable.,"Repasa Clustering: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L8:clustering;distance
L08Q02,8,clustering,k-means,8,"Diagnóstico de Nivel 8 (Clustering). El objetivo es ""Recorrer asignación y actualización de centros"". ¿Cuál respuesta demostraría dominio de K-means?",,Convertir una salida exploratoria o una métrica aislada en una decisión automática.,"Usar k-means para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",Cambiar la unidad de análisis para que la respuesta parezca más clara.,Aceptar una conclusión automática aunque exceda los datos disponibles.,B,Correcto: conecta K-means con una acción observable y evidencia verificable.,"Repasa Clustering: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L8:clustering;k-means
L08Q03,8,clustering,cluster-count,8,"Diagnóstico de Nivel 8 (Clustering). El objetivo es ""Comparar k sin declarar una verdad única"". ¿Cuál respuesta demostraría dominio de Número de grupos?",,Convertir una salida exploratoria o una métrica aislada en una decisión automática.,Cambiar la unidad de análisis para que la respuesta parezca más clara.,"Usar número de grupos para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",Aceptar una conclusión automática aunque exceda los datos disponibles.,C,Correcto: conecta Número de grupos con una acción observable y evidencia verificable.,"Repasa Clustering: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L8:clustering;cluster-count
L08Q04,8,dimensionality-reduction,components,8,"Diagnóstico de Nivel 8 (Reducción dimensional). El objetivo es ""Leer componentes mediante sus cargas"". ¿Cuál respuesta demostraría dominio de Componentes?",,Convertir una salida exploratoria o una métrica aislada en una decisión automática.,Cambiar la unidad de análisis para que la respuesta parezca más clara.,Aceptar una conclusión automática aunque exceda los datos disponibles.,"Usar componentes para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",D,Correcto: conecta Componentes con una acción observable y evidencia verificable.,"Repasa Reducción dimensional: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L8:dimensionality-reduction;components
L08Q05,8,dimensionality-reduction,explained-variance,8,"Diagnóstico de Nivel 8 (Reducción dimensional). El objetivo es ""Decidir cuántas componentes conservar"". ¿Cuál respuesta demostraría dominio de Varianza explicada?",,"Usar varianza explicada para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",Convertir una salida exploratoria o una métrica aislada en una decisión automática.,Cambiar la unidad de análisis para que la respuesta parezca más clara.,Aceptar una conclusión automática aunque exceda los datos disponibles.,A,Correcto: conecta Varianza explicada con una acción observable y evidencia verificable.,"Repasa Reducción dimensional: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L8:dimensionality-reduction;explained-variance
L08Q06,8,anomaly-detection,isolation,8,"Diagnóstico de Nivel 8 (Detección de anomalías). El objetivo es ""Relacionar pocos cortes con aislamiento"". ¿Cuál respuesta demostraría dominio de Aislamiento?",,Convertir una salida exploratoria o una métrica aislada en una decisión automática.,"Usar aislamiento para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",Cambiar la unidad de análisis para que la respuesta parezca más clara.,Aceptar una conclusión automática aunque exceda los datos disponibles.,B,Correcto: conecta Aislamiento con una acción observable y evidencia verificable.,"Repasa Detección de anomalías: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L8:anomaly-detection;isolation
L09Q01,9,time-series,trend,9,"Diagnóstico de Nivel 9 (Series de tiempo). El objetivo es ""Describir cambio de largo plazo sin atribuir causa"". ¿Cuál respuesta demostraría dominio de Tendencia?",,Convertir una salida exploratoria o una métrica aislada en una decisión automática.,Cambiar la unidad de análisis para que la respuesta parezca más clara.,"Usar tendencia para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",Aceptar una conclusión automática aunque exceda los datos disponibles.,C,Correcto: conecta Tendencia con una acción observable y evidencia verificable.,"Repasa Series de tiempo: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L9:time-series;trend
L09Q02,9,time-series,lag,9,"Diagnóstico de Nivel 9 (Series de tiempo). El objetivo es ""Vincular un valor actual con otro anterior sin mezclar fechas"". ¿Cuál respuesta demostraría dominio de Rezago?",,Convertir una salida exploratoria o una métrica aislada en una decisión automática.,Cambiar la unidad de análisis para que la respuesta parezca más clara.,Aceptar una conclusión automática aunque exceda los datos disponibles.,"Usar rezago para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",D,Correcto: conecta Rezago con una acción observable y evidencia verificable.,"Repasa Series de tiempo: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L9:time-series;lag
L09Q03,9,temporal-validation,windows,9,"Diagnóstico de Nivel 9 (Validación temporal). El objetivo es ""Definir qué pasado está disponible en cada corte"". ¿Cuál respuesta demostraría dominio de Ventanas temporales?",,"Usar ventanas temporales para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",Convertir una salida exploratoria o una métrica aislada en una decisión automática.,Cambiar la unidad de análisis para que la respuesta parezca más clara.,Aceptar una conclusión automática aunque exceda los datos disponibles.,A,Correcto: conecta Ventanas temporales con una acción observable y evidencia verificable.,"Repasa Validación temporal: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L9:temporal-validation;windows
L09Q04,9,ab-testing,random-assignment,9,"Diagnóstico de Nivel 9 (A/B testing). El objetivo es ""Asignar 400 prepedidos a A/B antes del resultado"". ¿Cuál respuesta demostraría dominio de Asignación aleatoria?",,Convertir una salida exploratoria o una métrica aislada en una decisión automática.,"Usar asignación aleatoria para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",Cambiar la unidad de análisis para que la respuesta parezca más clara.,Aceptar una conclusión automática aunque exceda los datos disponibles.,B,Correcto: conecta Asignación aleatoria con una acción observable y evidencia verificable.,"Repasa A/B testing: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L9:ab-testing;random-assignment
L09Q05,9,ab-testing,sample-size,9,"Diagnóstico de Nivel 9 (A/B testing). El objetivo es ""Fijar tamaño antes de observar el efecto"". ¿Cuál respuesta demostraría dominio de Tamaño de muestra?",,Convertir una salida exploratoria o una métrica aislada en una decisión automática.,Cambiar la unidad de análisis para que la respuesta parezca más clara.,"Usar tamaño de muestra para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",Aceptar una conclusión automática aunque exceda los datos disponibles.,C,Correcto: conecta Tamaño de muestra con una acción observable y evidencia verificable.,"Repasa A/B testing: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L9:ab-testing;sample-size
L09Q06,9,experimentation,guardrails,9,"Diagnóstico de Nivel 9 (Experimentación). El objetivo es ""Comprobar que el efecto no rompa capacidad"". ¿Cuál respuesta demostraría dominio de Guardrails?",,Convertir una salida exploratoria o una métrica aislada en una decisión automática.,Cambiar la unidad de análisis para que la respuesta parezca más clara.,Aceptar una conclusión automática aunque exceda los datos disponibles.,"Usar guardrails para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",D,Correcto: conecta Guardrails con una acción observable y evidencia verificable.,"Repasa Experimentación: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L9:experimentation;guardrails
L10Q01,10,ethics,representation,10,"Diagnóstico de Nivel 10 (Ética y sesgo). El objetivo es ""Auditar quién aparece y quién falta antes de generalizar"". ¿Cuál respuesta demostraría dominio de Representación?",,"Usar representación para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",Convertir una salida exploratoria o una métrica aislada en una decisión automática.,Cambiar la unidad de análisis para que la respuesta parezca más clara.,Aceptar una conclusión automática aunque exceda los datos disponibles.,A,Correcto: conecta Representación con una acción observable y evidencia verificable.,"Repasa Ética y sesgo: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L10:ethics;representation
L10Q02,10,ethics,harm,10,"Diagnóstico de Nivel 10 (Ética y sesgo). El objetivo es ""Trazar consecuencias concentradas que un promedio puede ocultar"". ¿Cuál respuesta demostraría dominio de Daño?",,Convertir una salida exploratoria o una métrica aislada en una decisión automática.,"Usar daño para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",Cambiar la unidad de análisis para que la respuesta parezca más clara.,Aceptar una conclusión automática aunque exceda los datos disponibles.,B,Correcto: conecta Daño con una acción observable y evidencia verificable.,"Repasa Ética y sesgo: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L10:ethics;harm
L10Q03,10,communication,uncertainty-communication,10,"Diagnóstico de Nivel 10 (Comunicación). El objetivo es ""Presentar estimación, rango y supuestos juntos"". ¿Cuál respuesta demostraría dominio de Comunicación de incertidumbre?",,Convertir una salida exploratoria o una métrica aislada en una decisión automática.,Cambiar la unidad de análisis para que la respuesta parezca más clara.,"Usar comunicación de incertidumbre para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",Aceptar una conclusión automática aunque exceda los datos disponibles.,C,Correcto: conecta Comunicación de incertidumbre con una acción observable y evidencia verificable.,"Repasa Comunicación: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L10:communication;uncertainty-communication
L10Q04,10,reproducibility,seeds,10,"Diagnóstico de Nivel 10 (Reproducibilidad). El objetivo es ""Repetir aleatoriedad computacional y probar sensibilidad"". ¿Cuál respuesta demostraría dominio de Semillas?",,Convertir una salida exploratoria o una métrica aislada en una decisión automática.,Cambiar la unidad de análisis para que la respuesta parezca más clara.,Aceptar una conclusión automática aunque exceda los datos disponibles.,"Usar semillas para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",D,Correcto: conecta Semillas con una acción observable y evidencia verificable.,"Repasa Reproducibilidad: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L10:reproducibility;seeds
L10Q05,10,reproducibility,clean-notebook,10,"Diagnóstico de Nivel 10 (Reproducibilidad). El objetivo es ""Ejecutar carga, validación, análisis y salida sin estado oculto"". ¿Cuál respuesta demostraría dominio de Notebook limpio?",,"Usar notebook limpio para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",Convertir una salida exploratoria o una métrica aislada en una decisión automática.,Cambiar la unidad de análisis para que la respuesta parezca más clara.,Aceptar una conclusión automática aunque exceda los datos disponibles.,A,Correcto: conecta Notebook limpio con una acción observable y evidencia verificable.,"Repasa Reproducibilidad: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L10:reproducibility;clean-notebook
L10Q06,10,mini-project,project-analysis,10,"Diagnóstico de Nivel 10 (Mini-proyecto). El objetivo es ""Encadenar operaciones compatibles con pregunta y datos"". ¿Cuál respuesta demostraría dominio de Análisis del proyecto?",,Convertir una salida exploratoria o una métrica aislada en una decisión automática.,"Usar análisis del proyecto para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",Cambiar la unidad de análisis para que la respuesta parezca más clara.,Aceptar una conclusión automática aunque exceda los datos disponibles.,B,Correcto: conecta Análisis del proyecto con una acción observable y evidencia verificable.,"Repasa Mini-proyecto: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L10:mini-project;project-analysis
L11Q01,11,notebook-project,notebook-to-verifiable-pipeline,11,"Diagnóstico de Nivel 11 (Del notebook al proyecto). El objetivo es ""Aplicar notebook frente a producción y justificar una decisión con evidencia verificable"". ¿Cuál respuesta demostraría dominio de Notebook frente a producción?",,"Dar por válido notebook frente a producción sin reconciliar las marcas visibles, la unidad y el límite del procedimiento.",Cambiar la unidad de análisis para que la respuesta parezca más clara.,"Usar notebook frente a producción para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",Aceptar una conclusión automática aunque exceda los datos disponibles.,C,Correcto: conecta Notebook frente a producción con una acción observable y evidencia verificable.,"Repasa Del notebook al proyecto: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L11:notebook-project;notebook-to-verifiable-pipeline
L11Q02,11,code-contracts,functions-modules,11,"Diagnóstico de Nivel 11 (Código modular y contratos). El objetivo es ""Aplicar funciones y módulos y justificar una decisión con evidencia verificable"". ¿Cuál respuesta demostraría dominio de Funciones y módulos?",,"Dar por válido funciones y módulos sin reconciliar las marcas visibles, la unidad y el límite del procedimiento.",Cambiar la unidad de análisis para que la respuesta parezca más clara.,Aceptar una conclusión automática aunque exceda los datos disponibles.,"Usar funciones y módulos para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",D,Correcto: conecta Funciones y módulos con una acción observable y evidencia verificable.,"Repasa Código modular y contratos: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L11:code-contracts;functions-modules
L11Q03,11,testing,regression-failure-tests,11,"Diagnóstico de Nivel 11 (Testing para datos y ML). El objetivo es ""Aplicar regression, golden y failure cases y justificar una decisión con evidencia verificable"". ¿Cuál respuesta demostraría dominio de Regression, golden y failure cases?",,"Usar regression, golden y failure cases para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.","Dar por válido regression, golden y failure cases sin reconciliar las marcas visibles, la unidad y el límite del procedimiento.",Cambiar la unidad de análisis para que la respuesta parezca más clara.,Aceptar una conclusión automática aunque exceda los datos disponibles.,A,"Correcto: conecta Regression, golden y failure cases con una acción observable y evidencia verificable.","Repasa Testing para datos y ML: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L11:testing;regression-failure-tests
L11Q04,11,service-contracts,errors-versioning,11,"Diagnóstico de Nivel 11 (APIs y contratos de servicio). El objetivo es ""Aplicar errores y versionado y justificar una decisión con evidencia verificable"". ¿Cuál respuesta demostraría dominio de Errores y versionado?",,"Dar por válido errores y versionado sin reconciliar las marcas visibles, la unidad y el límite del procedimiento.","Usar errores y versionado para resolver la consigna, citando unidad, evidencia visible y límite de conclusión.",Cambiar la unidad de análisis para que la respuesta parezca más clara.,Aceptar una conclusión automática aunque exceda los datos disponibles.,B,Correcto: conecta Errores y versionado con una acción observable y evidencia verificable.,"Repasa APIs y contratos de servicio: la respuesta debe conservar unidad, evidencia, límite y el error común del concepto.",L11:service-contracts;errors-versioning
